StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,Scenario
2011-08-18 12:34:36.936512,0.0,icmp,147.32.84.207,0xd618,   ->,147.32.96.69,,ROB,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.937177,0.0,icmp,147.32.84.207,0xb1dc,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.938433,0.0,icmp,147.32.84.207,0xf389,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.938892,0.0,icmp,147.32.84.206,0x811e,   ->,147.32.96.69,,TRC,0.0,,1,1066,1066,flow=From-Botnet-V51-7-ICMP,Scenario-10
2011-08-18 12:34:36.939336,0.0,icmp,147.32.84.207,0x5833,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.940755,0.0,icmp,147.32.84.204,0xe1b6,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-5-ICMP,Scenario-10
2011-08-18 12:34:36.942963,0.0,icmp,147.32.84.165,0xf6c4,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-1-ICMP,Scenario-10
2011-08-18 12:34:36.943215,0.0,icmp,147.32.84.207,0xbdb9,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.943310,0.0,icmp,147.32.84.207,0xf842,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.943432,0.0,icmp,147.32.84.207,0xbca2,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.943930,0.0,icmp,147.32.84.204,0x0d7a,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-5-ICMP,Scenario-10
2011-08-18 12:34:36.944478,0.0,icmp,147.32.84.207,0x7a63,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.945088,0.0,icmp,147.32.84.207,0x3bf3,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.945480,0.0,icmp,147.32.84.191,0xb0fa,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-2-ICMP,Scenario-10
2011-08-18 12:34:36.948530,0.0,icmp,147.32.84.191,0xb88d,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-2-ICMP,Scenario-10
2011-08-18 12:34:36.948536,0.0,icmp,147.32.84.207,0x54ec,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.949595,0.0,icmp,147.32.84.207,0x1cf8,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.950288,0.0,icmp,147.32.84.207,0x8dab,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.950934,0.0,icmp,147.32.84.207,0x7fad,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.951980,0.0,icmp,147.32.84.191,0x2250,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-2-ICMP,Scenario-10
2011-08-18 12:34:36.952423,0.0,icmp,147.32.84.207,0xa0ed,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.952677,0.0,icmp,147.32.84.193,0x330b,   ->,147.32.96.69,,TXD,0.0,,1,1066,1066,flow=From-Botnet-V51-4-ICMP,Scenario-10
2011-08-18 12:34:36.953435,0.0,icmp,147.32.84.207,0xe1e5,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.954135,0.0,icmp,147.32.84.206,0x4dd3,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-7-ICMP,Scenario-10
2011-08-18 12:34:36.955283,0.0,icmp,147.32.84.207,0xf88c,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
2011-08-18 12:34:36.956239,0.0,icmp,147.32.84.193,0x6a3a,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-4-ICMP,Scenario-10
2011-08-18 12:34:36.956737,0.0,icmp,147.32.84.207,0x63a1,   ->,147.32.96.69,,UNK,0.0,,1,1066,1066,flow=From-Botnet-V51-8-ICMP,Scenario-10
